id,event_id,down_time,up_time,action_time,activity,down_event,up_event,text_change,cursor_position,word_count
001519c8,1,4526,4557,31,Nonproduction,Leftclick,Leftclick,NoChange,0,0
001519c8,2,4558,4962,404,Nonproduction,Leftclick,Leftclick,NoChange,0,0
001519c8,3,106571,106571,0,Nonproduction,Shift,Shift,NoChange,0,0
001519c8,4,106686,106777,91,Input,q,q,q,1,1
001519c8,5,107196,107323,127,Input,q,q,q,2,1
001519c8,6,107296,107400,104,Input,q,q,q,3,1
001519c8,7,107469,107596,127,Input,q,q,q,4,1
001519c8,8,107659,107766,107,Input,q,q,q,5,1
001519c8,9,107743,107852,109,Input,q,q,q,6,1
001519c8,10,107840,107978,138,Input,Space,Space, ,7,1
001519c8,11,108008,108195,187,Input,q,q,q,8,2
001519c8,12,108104,108259,155,Input,q,q,q,9,2
001519c8,13,108229,108370,141,Input,q,q,q,10,2
001519c8,14,108341,108486,145,Input,Space,Space, ,11,2
001519c8,15,109296,109438,142,Input,q,q,q,12,3
001519c8,16,109423,109559,136,Input,q,q,q,13,3
001519c8,17,109560,109729,169,Input,q,q,q,14,3
001519c8,18,109826,109994,168,Input,q,q,q,15,3
001519c8,19,110398,110516,118,Remove/Cut,Backspace,Backspace,q,14,3
001519c8,20,110595,110751,156,Input,q,q,q,15,3
001519c8,21,110745,110863,118,Input,q,q,q,16,3
001519c8,22,110848,110989,141,Input,Space,Space, ,17,3
001519c8,23,111034,111140,106,Input,q,q,q,18,4
001519c8,24,111174,111261,87,Input,q,q,q,19,4
001519c8,25,111310,111414,104,Input,q,q,q,20,4
001519c8,26,111442,111587,145,Input,q,q,q,21,4
001519c8,27,111718,111771,53,Input,q,q,q,22,4
001519c8,28,111853,111995,142,Input,q,q,q,23,4
001519c8,29,111978,112122,144,Input,Space,Space, ,24,4
001519c8,30,112192,112323,131,Input,q,q,q,25,5
001519c8,31,112248,112414,166,Input,q,q,q,26,5
001519c8,32,112359,112478,119,Input,Space,Space, ,27,5
001519c8,33,112589,112700,111,Input,q,q,q,28,6
001519c8,34,113005,113075,70,Remove/Cut,Backspace,Backspace,q,27,5
001519c8,35,113055,113175,120,Input,q,q,q,28,6
001519c8,36,113233,113323,90,Input,q,q,q,29,6
001519c8,37,113304,113446,142,Input,Space,Space, ,30,6
001519c8,38,113520,113632,112,Input,q,q,q,31,7
001519c8,39,113585,113740,155,Input,q,q,q,32,7
001519c8,40,113682,113796,114,Input,q,q,q,33,7
001519c8,41,113841,113944,103,Input,q,q,q,34,7
001519c8,42,113988,114122,134,Input,q,q,q,35,7
001519c8,43,114071,114178,107,Input,Space,Space, ,36,7
001519c8,44,114218,114322,104,Input,q,q,q,37,8
001519c8,45,114308,114439,131,Input,q,q,q,38,8
001519c8,46,114440,114570,130,Input,Space,Space, ,39,8
001519c8,47,114533,114657,124,Input,q,q,q,40,9
001519c8,48,114609,114714,105,Input,q,q,q,41,9
